type,first-name-and-last-name,source-where-i-found,gender,education,birthplace,most-famous-pieces,example_art,travels,family,museums,auctions,genres,sources-of-data
artists,Наталія Кохаль,https://t.me/moja_ukraina/1893,F,Київський художній інститут,м. Київ,«Осінь у саду насолод»;  «Жінка»; «Натюрморт»; «Пори року»; «Фауна»; «Залізний вовк»;,"https://ams3.digitaloceanspaces.com/sverediuk-space/wp-content/uploads/2020/01/21185039/14566277_126235444508048_6481838092154238967_o-1536x1058.jpg;
https://esu.com.ua/images/galleries-images/K/KohalyNataliyaVolodimirivna/Nichni%20nadii%20iz%20serii%20Plin%20chasu.%201992.%20Papir,%20akvarely.jpg;
https://esu.com.ua/images/galleries-images/K/KohalyNataliyaVolodimirivna/Riba%20iz%20serii%20Fauna.%202007.%20Papir,%20akvarely.jpg;
https://esu.com.ua/images/galleries-images/K/KohalyNataliyaVolodimirivna/Natyurmort.%201999.%20Papir,%20guash.jpg;
https://i0.wp.com/thisbugslife.com/wp-content/uploads/2022/03/274750311_1404749756656604_5823469985340333584_n.jpg;
https://i0.wp.com/thisbugslife.com/wp-content/uploads/2022/03/275335447_2289185744713242_8206028794929464013_n.jpg;
https://i0.wp.com/thisbugslife.com/wp-content/uploads/2022/03/275368296_2289185684713248_1074093414946377354_n.jpg;
https://i0.wp.com/thisbugslife.com/wp-content/uploads/2022/03/275436974_2289185084713308_8079954446357123837_n.jpg;
https://i0.wp.com/thisbugslife.com/wp-content/uploads/2022/03/275484504_2289184214713395_8280508599899170605_n.jpg;",,,Київ,,"Графік, живописець",https://esu.com.ua/search_articles.php?id=406
artists,Віра Баринова-Кулеба,https://t.me/moja_ukraina/1892,F,Харківський фаховий вищий художній коледж; Київський державний художній інститут,с. Римарівка; тепер Миргородського району Полтавської області Україна,«Автопортрет з дітьми»; «Моя мама і брат»; «Синок мій»; «Запрошення»;  «Дівчата»; «Свято врожаю»;,"https://esu.com.ua/images/galleries-images/B/barinova-kulebaviraivanivna/perepilochka.%201990.%20polotno,%20oliya.jpg;
https://esu.com.ua/images/galleries-images/B/barinova-kulebaviraivanivna/avtoportret.%201998.%20polotno,%20oliya.jpg;
https://esu.com.ua/images/galleries-images/B/barinova-kulebaviraivanivna/ghebraki.%201991.%20polotno,%20oliya.jpg;
http://www.golos.com.ua/images_upload/2019/01/180119/1547817250_Barynova-Kuleba1.jpg;
http://konshu.org/img/gallery/img_113_b.jpg;
http://konshu.org/img/gallery/img_114_b.jpg;
http://konshu.org/img/gallery/img_111_b.jpg;",,,"Картини зберігаються в музеях (Національний художній музей України)
 і приватних колекціях в Україні; Великобританії; Німеччині; США; Угорщині; Франції; Швейцарії;",,Реалізм; ,"https://vue.gov.ua/%D0%91%D0%B0%D1%80%D0%B8%D0%BD%D0%BE%D0%B2%D0%B0-%D0%9A%D1%83%D0%BB%D0%B5%D0%B1%D0%B0,_%D0%92%D1%96%D1%80%D0%B0_%D0%86%D0%B2%D0%B0%D0%BD%D1%96%D0%B2%D0%BD%D0%B0"
artists,Микола Пимоненко,https://t.me/moja_ukraina/1872,M,Київська рисувальна школа;,м. Київ;,"«Гальорка»; «Жниця»; «Свати»; «Ворожіння»; «Молодиця»; «Не жартуй»; «Жертва фанатизму»; «У похід»; 
«Українська ніч. Побачення»; «Перед грозою»; «Зустріч з земляком»; «Суперниці. Біля колодязя»; 
«Проводи запасних»; ","https://uploads0.wikiart.org/00420/images/mikola-pimonenko/637a45329e43632fe0bd6e1f.jpg;
https://uploads0.wikiart.org/00420/images/mikola-pimonenko/mykola-pymonenko-bildnis-einer-ukrainischen-b-uerin.jpg;
https://uploads0.wikiart.org/00420/images/mikola-pimonenko/637a41bc9e43632fe09f1dd5.jpg;
https://uploads6.wikiart.org/00420/images/mikola-pimonenko/g-1.jpg;
https://uploads6.wikiart.org/00420/images/mikola-pimonenko/pymonenko-a-boy-in-a-straw-hat.jpg;
https://uploads5.wikiart.org/00420/images/mikola-pimonenko/34.jpg;",,народився в родині майстра іконопису;,,,,https://uk.wikipedia.org/wiki/%D0%9F%D0%B8%D0%BC%D0%BE%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%9A%D0%BE%D1%80%D0%BD%D0%B8%D0%BB%D0%BE%D0%B2%D0%B8%D1%87
artists,Петро Левченко,https://t.me/moja_ukraina/1870,M,Харківська міська гамназія;,м. Харків,"«Глухомань»; «Вечір. Сльота»; «На Харківщині»; «Водний млин»;
 «Хутір»; «Вітрячок»; «Святковий стіл»; «Вулиця в Парижі. Приблизно 1900-ті»;","https://esu.com.ua/images/galleries-images/16tom/levchenkopetrooleksiyovich/mlin.%20polotno,%20oliya.jpg;
https://esu.com.ua/images/galleries-images/16tom/levchenkopetrooleksiyovich/vulichka%20v%20mistechku.%20karton,%20oliya.jpg;
https://esu.com.ua/images/galleries-images/16tom/levchenkopetrooleksiyovich/na%20lugah.%20bolitce.%20poch.%2020%20st.%20karton,%20oliya.jpg;
https://esu.com.ua/images/galleries-images/16tom/levchenkopetrooleksiyovich/vulicya%20u%20putivli.%201904.%20polotno,%20oliya.jpg;",Петербург; Париж,народився в родині заможного купця; власника канатної фабрики;,"Національний музей українського образотворчого мистецтва в Києві; 
Харківський художній музей;",,Реалізм; Імпресіонізм,https://uk.wikipedia.org/wiki/%D0%9B%D0%B5%D0%B2%D1%87%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9F%D0%B5%D1%82%D1%80%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
artists,Віктор Зарубін,https://t.me/moja_ukraina/1859,M,Фізико-математичний факультет Харківського університету;,м. Харків;,«З природи Нормандії»; «Тихий вечір»; «Гуляння»; «Український пейзаж»; ,"https://esu.com.ua/images/galleries-images/Z/zarubinviktorivanovich/mandrivni%20chenci.%201920-i%20rr.%20fanera,%20oliya.jpg;
https://esu.com.ua/images/galleries-images/Z/zarubinviktorivanovich/bilya%20beregiv%20normandii.%201897.%20karton,%20oliya.jpg;
https://esu.com.ua/images/galleries-images/Z/zarubinviktorivanovich/selo%20bilya%20richki.%20polotno,%20oliya.jpg;",Петербург; Париж;,народився в сім'ї професора;,,https://artinvestment.ru/auctions/948/works.html?wc=4,,https://uk.wikipedia.org/wiki/%D0%97%D0%B0%D1%80%D1%83%D0%B1%D1%96%D0%BD_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
artists,Олег Шупляк,https://t.me/moja_ukraina/1848,M,Архітектурний факультет Львівського політехнічного інституту;,с. Біще Бережанського району Тернопільської області України;,"«Двовзори»;  ""Український космос""; ""Рідна земля""; ""Польоти над полями"";","https://karpaty.shop/sites/default/files/styles/product/public/products/21/oleg_shuplyak_kartina_podglyadyvaniya_freyda_reprodukciya_zakazat_cena.jpg;
https://i.arts.center/works/mavka-lsova_shuplyak_oleg_1614178392-159261.jpg;
https://i.arts.center/works/PROCESSION_shuplyak_oleg_1611843375-149952.jpg;
https://i.arts.center/works/numo-v-kolo_shuplyak_oleg_1609339967-149292.jpg;
https://i.arts.center/works/shupel_shuplyak_oleg_1586370217-168348.jpg;
https://i.arts.center/works/vtryaniy-den-2_shuplyak_oleg_1584265443-169098.jpg;
https://i.arts.center/works/kupalsk-tanc_shuplyak_oleg_1582315878-169843.jpg;
https://i.arts.center/works/avtoprtret-v-altamr_shuplyak_oleg_1557395821-177218.jpg;","Париж; , Мадрит; Барселона; Петербург; Польща;",,"Національний музей Тараса Шевченка у Києві; колекція міністерства культури України;колекція міжнародного 
Фонду «Культурне надбання» (Санкт Петербург);колекція Наукового центру Онтаріо (Канада);",,Реалізм;,https://uk.wikipedia.org/wiki/%D0%A8%D1%83%D0%BF%D0%BB%D1%8F%D0%BA_%D0%9E%D0%BB%D0%B5%D0%B3_%D0%86%D0%BB%D0%BB%D1%96%D1%87
artists,Юліуш Коссак,https://t.me/moja_ukraina/1839,M,Студії правничого факультету Львівського університету;,м. Новий Вісьнич;  Польща;,"«Подільське село в неділю»; «Подільський лірник»; «Полювання»;
 «Череда на Поділлі»; «Битва під Остроленкою»;","https://media2.nekropole.info/2014/10/Juliusz-Kossak_544bfc864dea3.jpg;
https://api.culture.pl/sites/default/files/images/imported/sztuki%20wizualne/portrety/Kossak_Juliusz/juliusz-kossak-piesn-legionow-fot-polona.jpg;
https://api.culture.pl/sites/default/files/images/culture.pl/ryspol161554.jpg;
https://api.culture.pl/sites/default/files/images/imported/sztuki%20wizualne/portrety/Kossak_Juliusz/defending_the_polish_banner_at_chocim_by_juliusz_kossak_1892.jpg;
http://4.bp.blogspot.com/-P7LoRt05m08/Ud8YyqlBWcI/AAAAAAAAKxc/iC6lnNY0e_M/s1600/%D0%BA%D0%BE%D1%81%D1%81%D0%B0%D0%BA+%D1%8E%D0%BB%D0%B8%D1%83%D1%88+%D1%81%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5+%D0%BF%D1%80%D0%B8+%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%B5%D0%BD%D0%BA%D0%B5+1873+%D0%B3%D0%BE%D0%B4.jpg;
http://2.bp.blogspot.com/-kGeWbP14cqQ/Ud8YHf31ksI/AAAAAAAAKwQ/jMDH9D8tEqQ/s1600/%D0%BA%D0%BE%D1%81%D1%81%D0%B0%D0%BA+%D1%8E%D0%BB%D0%B8%D1%83%D1%88+Bitwa_pod_Raszynem.jpg;",,народився у родині львівського судді; власника села Княгінін біля Перемишля,,,Реалізм;,https://www.wiki-data.uk-ua.nina.az/%D0%AE%D0%BB%D1%96%D1%83%D1%88_%D0%9A%D0%BE%D1%81%D1%81%D0%B0%D0%BA.html
artists,Катерина Білокур,https://t.me/moja_ukraina/1830,F,Самостійно навчилася читати й малювати;,с. Богданівка на Полтавщині;,«Цар-Колос»; «Берізка»; «Колгоспне поле»; ,"https://kulbabska.com/images/articles/news/05.08.2017_15.jpg;
https://life.pravda.com.ua/images/doc/2/a/2a0be0c-2222222222222.jpg;
https://uain.press/_uploads/2021/12/Katerina-Bilokur-5.jpg;
https://uain.press/_uploads/2021/12/Katerina-Bilokur-7.jpg;
https://uain.press/_uploads/2021/12/Katerina-Bilokur-8.jpg;
https://uain.press/_uploads/2021/12/Katerina-Bilokur-4.jpg;
https://uain.press/_uploads/2021/12/Katerina-Bilokur-11.jpg;
https://uain.press/_uploads/2021/12/Katerina-Bilokur-13.jpg;",,народилась у селянській родині;,,,,https://www.bbc.com/ukrainian/features-55213346
artists,Сергій Світославський,https://t.me/moja_ukraina/1817,M,Московське училище живопису;,м. Київ;,"“Із вікна Московського училища”; “Дворик”, “Напровесні”; “Двір весною”; “Пором на Дніпрі”; “Воли на оранці”; 
“Вечір в степу”, “Вулиця повітового міста”; “Миргород”; “Заготівля льоду”; “Розлив Дніпра”; “Зима”;","https://uain.press/_uploads/2021/10/Svitoslavskij15-6.jpg;
https://uain.press/_uploads/2021/10/Svitoslavskij1-1.jpg;
https://uain.press/_uploads/2021/10/Svitoslavskij5.jpg;
https://uain.press/_uploads/2022/10/50200.jpg;
https://uain.press/_uploads/2021/10/Svitoslavskij6.jpg;
https://uain.press/_uploads/2021/10/Svitoslavskij3.jpg;
https://uain.press/_uploads/2021/10/Svitoslavskij2.jpg;
https://uain.press/_uploads/2021/10/Svitoslavskij10.jpg;
https://uain.press/_uploads/2021/10/Svitoslavskij14.jpg;
https://uain.press/_uploads/2021/10/Svitoslavskij16.jpg;
https://uain.press/_uploads/2021/10/Svitoslavskij18.jpg;
https://uain.press/_uploads/2021/10/Svitoslavskij9-3.jpg;
https://uain.press/_uploads/2021/10/Svitoslavskij11-4.jpg;
https://uain.press/_uploads/2021/10/Svitoslavskij7-2.jpg;",Україна; Кавказ; Середня Азія;,народився в родині чиновника;,,,,https://uain.press/blogs/1350835-1350835
artists,Віктор Зарецький ,https://t.me/moja_ukraina/1809,M,Київський художній інститут;,м. Білопілля на Сумщині;,"«Після війни»; «Жаркий день»; «Шахтний двір»; «Після зміни»; «Портрет ланкової П. Сироватко»; 
«Дівчата»; «Оля»; «Чорний струмок» ","https://uartlib.org/wp-content/uploads/2015/05/Zareckiy3.jpg;
https://uartlib.org/wp-content/uploads/2015/05/Zareckiy1.jpg;
https://gs-art.com/upload/iblock/2f2/27.jpg;
https://gs-art.com/upload/iblock/20d/17.jpg;
https://gs-art.com/upload/iblock/915/16.jpg;
https://gs-art.com/upload/iblock/9bd/25.jpg;
https://gs-art.com/upload/iblock/a52/26.jpg;
https://gs-art.com/upload/iblock/a34/037.jpg;
https://gs-art.com/upload/iblock/c8c/065.jpg;
https://gs-art.com/upload/iblock/d32/084.jpg;
https://gs-art.com/upload/iblock/ed3/Auc27_058.jpg;",,,Київський музей українського мистецтва; Третьяковська галерея;,,Реалізм;,https://uartlib.org/ukrayinski-hudozhniki/zaretskiy-viktor/
artists,Микола Глущенко,https://t.me/moja_ukraina/1801,M,Берлінська вища школа музики; Берлінська академія мистецтв;,"м. Новомосковськ, Катеринославська губернія, Російська імперія","«Березень на Дніпрі»;  «Київська осінь»; «Відлига»; « Зимове сонце»; «Весна в Карпатах»; 
«Весна під Києвом»; «Травневий колір»; «Май»; «Сонце на морі»;","https://collection-lvivgallery.org.ua/media/collectiveaccess/images/1/5/69005_ca_object_representations_media_1507_page.jpg;
https://collection-lvivgallery.org.ua/media/collectiveaccess/images/1/5/6153_ca_object_representations_media_1506_page.jpg;
https://collection-lvivgallery.org.ua/media/collectiveaccess/images/1/4/92875_ca_object_representations_media_1498_page.jpg;
https://euro-art.com.ua/wordpress/wp-content/uploads/hlushhenko_m_p__kater_na_dnipri-1-scaled.jpg;
https://euro-art.com.ua/wordpress/wp-content/uploads/hlushhenko_m_p__v_okolycyax_sela_zhabye.jpg;
https://euro-art.com.ua/wordpress/wp-content/uploads/hlushhenko_m_p__oholena_bilya_vodojmy.jpg;
https://esu.com.ua/images/galleries-images/G/gluschenkomikolapetrovich/more%20uvecheri.%201977.%20polotno,%20oliya.jpg;
https://esu.com.ua/images/galleries-images/G/gluschenkomikolapetrovich/dnipro%20pid%20kievom.%201956.%20karton,%20oliya.jpg;
https://esu.com.ua/images/galleries-images/G/gluschenkomikolapetrovich/avtoportret.%201923.%20polotno,%20oliya.jpg;",Іспанія; Мальорка,,,,Соціалістичний реалізм;,"https://ru.wikipedia.org/wiki/%D0%93%D0%BB%D1%83%D1%89%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
